item_id,level,difficulty,bonus,speedup,releaseInterval,levelUpHits,a,b
0,1,1,0,0,3200,3,9.597375238818,-3.17595456046388
1,2,2,0,0,2500,3,1.92650296202344,-2.89118925042655
2,3,3,0,0,2500,3,3.20069565732876,-2.58744071188967
3,4,4,0,0,2500,3,2.12853444639964,-2.34988651061328
4,5,5,400,-1000,2500,3,2.26020467516071,-1.73115720165094
5,6,6,400,-1000,2500,3,2.48704537629182,-1.13822453777065
6,7,7,400,-1000,2500,3,3.51883529784809,-0.951586664599462
7,8,8,400,-1000,2500,3,3.5575295795162,-0.712223413456277
8,9,9,400,-1000,2500,3,4.3973596583385,-0.527469761551175
9,10,10,400,-1000,2500,3,5.9711980096943,-0.1476424075555
10,11,11,0,-2500,4000,3,4.74062674250127,0.216183168137518
11,12,12,0,-2500,4000,3,4.43736058103407,0.518483936320555
12,13,13,0,-2500,4000,3,4.21031334402512,0.619503132254727
13,14,14,0,-2500,4000,3,4.44024226330065,0.722765207327939
14,15,15,0,-2500,4000,3,6.31021781393483,0.716673560470606
15,16,16,0,-2000,4000,3,9.67465756828478,0.772828593347234
16,17,17,0,-2000,4000,3,6.06256534087898,1.1031282720823
17,18,18,0,-2000,4000,3,6.79387625270967,1.22165221266738
18,19,19,0,-2000,4000,3,9.00060372448691,1.39112481208927
19,20,20,0,-2000,4000,3,6.51044543435111,1.59986335086924
20,21,21,0,-2000,4000,3,6.19199774985449,1.78870364573571
21,22,22,0,-2000,4000,3,11.2195565847245,1.60046073987255
22,23,23,0,-2000,4000,3,12.1199945717396,1.74687165597741
23,24,24,0,-2000,4000,3,14.7820206451633,1.8014980196648
24,25,25,0,-2000,4000,3,12.1921469848723,1.97359682042315
25,26,26,0,-2000,4000,3,9.7216462664606,2.02855040492242
26,27,27,0,-2000,4000,3,7.11269153406581,2.38309760427611
27,28,28,0,-2000,4000,3,,
28,29,29,0,-2000,4000,3,,
29,30,30,0,-2000,4000,3,,
