"item_id","a","b","c"
"L1",1,-6.30691752741661,0
"L2",1,-7.17828441590113,0
"L3",1,-6.81978794534797,0
"L4",1,-5.67403016554988,0
"L5",1,-5.14656155768658,0
"L6",1,-2.69500335263499,0
"L7",1,0.133511327134181,0
"L8",1,0.168390811771307,0
"L9",1,1.06758621829615,0
"L10",1,1.92083949177273,0
"L11",1,2.94566620893859,0
"L12",1,3.07126234989139,0
"L13",1,3.69239717508339,0
"L14",1,3.85034309909782,0
"L15",1,4.04833382589647,0
"L16",1,3.94818630571218,0
"L17",1,4.29093774698432,0
"L18",1,4.32661422493175,0
"L19",1,4.43517952571744,0
"L20",1,4.47188329113078,0
"L21",1,4.65935169966432,0
