"item_id","a","b","c"
"1a",1,-10.1044515763526,0
"1b",1,-10.1044515763526,0
"1c",1,-10.1044515763526,0
"1d",1,-10.1044515763526,0
"1e",1,-10.1044515763526,0
"2a",1,-7.77231180382933,0
"2b",1,-9.30156565542371,0
"2c",1,-9.56541898052717,0
"2d",1,-9.91973214262589,0
"2e",1,-9.91973214262589,0
"3a",1,-8.0247115673092,0
"3b",1,-8.4897625060187,0
"3c",1,-8.4897625060187,0
"3d",1,-8.4897625060187,0
"3e",1,-8.4897625060187,0
"4a",1,-6.97842837004128,0
"4b",1,-7.4830048058519,0
"4c",1,-7.73676828396466,0
"4d",1,-7.73676828396466,0
"4e",1,-7.73676828396466,0
"5a",1,-5.91268418821149,0
"5b",1,-6.64096726159697,0
"5c",1,-6.84782906926201,0
"5d",1,-6.8604323435489,0
"5e",1,-6.8604323435489,0
"6a",1,-4.63170093744635,0
"6b",1,-5.71781826608492,0
"6c",1,-5.92885091897223,0
"6d",1,-5.94511231751248,0
"6e",1,-5.94511231751248,0
"7a",1,-4.38397855213445,0
"7b",1,-5.11741162267959,0
"7c",1,-5.28850036242324,0
"7d",1,-5.32897056870113,0
"7e",1,-5.33915074432163,0
"8a",1,-3.69275062311108,0
"8b",1,-4.47786210913419,0
"8c",1,-4.65232020680507,0
"8d",1,-4.68487142189661,0
"8e",1,-4.68783981700766,0
"9a",1,-3.15765064234572,0
"9b",1,-3.66701928972899,0
"9c",1,-3.73666073493169,0
"9d",1,-3.74961646590333,0
"9e",1,-3.74961646590333,0
"10a",1,-1.85402118383158,0
"10b",1,-2.09121022389124,0
"10c",1,-2.1349536465602,0
"10d",1,-2.14223744336159,0
"10e",1,-2.14223744336159,0
"11a",1,-0.288074381404312,0
"11b",1,-1.04115362937689,0
"11c",1,-1.21014013866865,0
"11d",1,-1.23591594718478,0
"11e",1,-1.23591594718478,0
"12a",1,1.09735783553677,0
"12b",1,0.143780602082591,0
"12c",1,-0.271275636073955,0
"12d",1,-0.374515269158099,0
"12e",1,-0.377293727611115,0
"13a",1,1.53472860128486,0
"13b",1,0.556897222701838,0
"13c",1,0.282560796442531,0
"13d",1,0.239085574217729,0
"13e",1,0.239085574217729,0
"14a",1,2.03188904088635,0
"14b",1,0.92839398996194,0
"14c",1,0.589183976900425,0
"14d",1,0.539300581247209,0
"14e",1,0.539300581247209,0
"15a",1,2.02586620487837,0
"15b",1,1.4542357730065,0
"15c",1,1.34107277357564,0
"15d",1,1.33214474455595,0
"15e",1,1.33214474455595,0
"16a",1,2.32554656963102,0
"16b",1,2.08312801532132,0
"16c",1,2.05900535140472,0
"16d",1,2.05900535140472,0
"16e",1,2.05900535140472,0
"17a",1,3.80128767227266,0
"17b",1,3.18922838883037,0
"17c",1,3.04955767599512,0
"17d",1,3.03346019418632,0
"17e",1,3.03346019418632,0
"18a",1,4.40605301965209,0
"18b",1,4.03989200529763,0
"18c",1,3.95424350539897,0
"18d",1,3.94317400911287,0
"18e",1,3.94317400911287,0
"19a",1,5.1949885910932,0
"19b",1,4.91631263475852,0
"19c",1,4.8529909255102,0
"19d",1,4.84402486043622,0
"19e",1,4.84402486043622,0
"20a",1,5.95227147193394,0
"20b",1,5.37078788013154,0
"20c",1,5.15598327862614,0
"20d",1,5.13181161037689,0
"20e",1,5.13181161037689,0
"21a",1,6.60784166257418,0
"21b",1,5.82388689136607,0
"21c",1,5.572541204125,0
"21d",1,5.54526420478552,0
"21e",1,5.54526420478552,0
"22a",1,6.08080827000301,0
"22b",1,5.90262764833371,0
"22c",1,5.89648781223945,0
"22d",1,5.89648781223945,0
"22e",1,5.89648781223945,0
"23a",1,6.67705344180621,0
"23b",1,6.47669216139042,0
"23c",1,6.39139343386064,0
"23d",1,6.39139343386064,0
"23e",1,6.39139343386064,0
"24a",1,6.91294220403431,0
"24b",1,6.78620685341718,0
"24c",1,6.75826894023695,0
"24d",1,6.75826894023695,0
"24e",1,6.75826894023695,0
"25a",1,7.64381792216257,0
"25b",1,7.37004245779433,0
"25c",1,7.27682713855647,0
"25d",1,7.27682713855647,0
"25e",1,7.27682713855647,0
"26a",1,7.88504564875343,0
"26b",1,7.66082925579931,0
"26c",1,7.6104519264201,0
"26d",1,7.6104519264201,0
"26e",1,7.6104519264201,0
"27a",1,9.24074854830731,0
"27b",1,8.6302447217358,0
"27c",1,8.26744479353713,0
"27d",1,8.26744479353713,0
"27e",1,8.26744479353713,0
