a,theta_true,theta_hat,rmse_overall
0.5,-3.0,-2.081694638898292,1.0249192618585736
0.5,-3.0,-0.7832794887144802,1.0249192618585736
0.5,-3.0,-1.6153873133404548,1.0249192618585736
0.5,-3.0,-0.7832794887144793,1.0249192618585736
0.5,-3.0,-1.4926205195699978,1.0249192618585736
0.5,-3.0,-0.8942267117835041,1.0249192618585736
0.5,-3.0,-1.635610761277875,1.0249192618585736
0.5,-3.0,-1.2527808608869024,1.0249192618585736
0.5,-3.0,-1.6153873133404548,1.0249192618585736
0.5,-3.0,-1.4926205195699986,1.0249192618585736
0.5,-3.0,-2.0972056576684954,1.0249192618585736
0.5,-3.0,-1.6113748036167768,1.0249192618585736
0.5,-3.0,-1.7316414170560877,1.0249192618585736
0.5,-3.0,-2.0972056576684963,1.0249192618585736
0.5,-3.0,-1.2614084639252268,1.0249192618585736
0.5,-3.0,-1.1323876092681213,1.0249192618585736
0.5,-3.0,-2.0937641978647044,1.0249192618585736
0.5,-3.0,-1.3756006646635597,1.0249192618585736
0.5,-3.0,-0.5403621922738556,1.0249192618585736
0.5,-3.0,-0.7832794887144798,1.0249192618585736
0.5,-3.0,-1.0217910893068884,1.0249192618585736
0.5,-3.0,-1.0162764136816962,1.0249192618585736
0.5,-3.0,-0.5252831330746954,1.0249192618585736
0.5,-3.0,-1.1134183349799922,1.0249192618585736
0.5,-3.0,-1.8490610051145526,1.0249192618585736
0.5,-3.0,-1.3756006646635592,1.0249192618585736
0.5,-3.0,-1.8395393461566385,1.0249192618585736
0.5,-3.0,-1.8484977957024253,1.0249192618585736
0.5,-3.0,-1.027566856546227,1.0249192618585736
0.5,-3.0,-1.6153873133404546,1.0249192618585736
0.5,-3.0,-2.097205657668496,1.0249192618585736
0.5,-3.0,-1.6076371802522909,1.0249192618585736
0.5,-3.0,-2.2261133213471354,1.0249192618585736
0.5,-3.0,-1.6070632379251428,1.0249192618585736
0.5,-3.0,-0.7780594969506254,1.0249192618585736
0.5,-3.0,-1.5026027883135342,1.0249192618585736
0.5,-3.0,-1.3577944197614011,1.0249192618585736
0.5,-3.0,-1.2556013885480075,1.0249192618585736
0.5,-3.0,-1.1369606236401228,1.0249192618585736
0.5,-3.0,-1.6070632379251426,1.0249192618585736
0.5,-3.0,-1.507323248267496,1.0249192618585736
0.5,-3.0,-1.8484977957024251,1.0249192618585736
0.5,-3.0,-1.3488260809341703,1.0249192618585736
0.5,-3.0,-1.8484977957024262,1.0249192618585736
0.5,-3.0,-1.8441703101337266,1.0249192618585736
0.5,-3.0,-1.5089045037575237,1.0249192618585736
0.5,-3.0,-2.3225339802409977,1.0249192618585736
0.5,-3.0,-2.5557647026019037,1.0249192618585736
0.5,-3.0,-1.5868317879038363,1.0249192618585736
0.5,-3.0,-1.8360476980680422,1.0249192618585736
0.5,-2.5,-0.8990869917623185,1.0249192618585736
0.5,-2.5,-1.1369606236401226,1.0249192618585736
0.5,-2.5,-1.1280917857931576,1.0249192618585736
0.5,-2.5,-0.3025642212989988,1.0249192618585736
0.5,-2.5,-1.6153873133404555,1.0249192618585736
0.5,-2.5,-1.136960623640123,1.0249192618585736
0.5,-2.5,-0.8836437069149551,1.0249192618585736
0.5,-2.5,-1.267455380906692,1.0249192618585736
0.5,-2.5,-1.8406883444358684,1.0249192618585736
0.5,-2.5,-2.046692481608201,1.0249192618585736
0.5,-2.5,-1.1275172183508855,1.0249192618585736
0.5,-2.5,-2.0937641978647044,1.0249192618585736
0.5,-2.5,-0.8896399674494951,1.0249192618585736
0.5,-2.5,-1.2892823237453364,1.0249192618585736
0.5,-2.5,-1.602449823512339,1.0249192618585736
0.5,-2.5,-1.5220127173500828,1.0249192618585736
0.5,-2.5,-0.3083605063009862,1.0249192618585736
0.5,-2.5,-1.8328534847318887,1.0249192618585736
0.5,-2.5,-0.6392032905354895,1.0249192618585736
0.5,-2.5,-1.029144630539293,1.0249192618585736
0.5,-2.5,-1.5937680893154063,1.0249192618585736
0.5,-2.5,-0.8896399674494947,1.0249192618585736
0.5,-2.5,-1.6024498235123381,1.0249192618585736
0.5,-2.5,-0.8942267117835045,1.0249192618585736
0.5,-2.5,-1.1323876092681213,1.0249192618585736
0.5,-2.5,-1.0162764136816962,1.0249192618585736
0.5,-2.5,-1.017349192642056,1.0249192618585736
0.5,-2.5,-1.1275172183508855,1.0249192618585736
0.5,-2.5,-1.1369606236401235,1.0249192618585736
0.5,-2.5,-1.1180366813912697,1.0249192618585736
0.5,-2.5,-2.3254325530271625,1.0249192618585736
0.5,-2.5,-1.0244073516014416,1.0249192618585736
0.5,-2.5,-1.1369606236401233,1.0249192618585736
0.5,-2.5,-0.8942267117835045,1.0249192618585736
0.5,-2.5,-1.5986925442909174,1.0249192618585736
0.5,-2.5,-1.0118331118203125,1.0249192618585736
0.5,-2.5,-0.7887767839463985,1.0249192618585736
0.5,-2.5,-1.615387313340455,1.0249192618585736
0.5,-2.5,-2.226113321347136,1.0249192618585736
0.5,-2.5,-0.7832794887144799,1.0249192618585736
0.5,-2.5,-1.8441703101337266,1.0249192618585736
0.5,-2.5,-1.3672963454554916,1.0249192618585736
0.5,-2.5,-1.3756006646635592,1.0249192618585736
0.5,-2.5,-1.0162764136816962,1.0249192618585736
