,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
L1,,0.14702704894188537,0.10559254349840881,0.01974940205184086,0.007381862188159735,-0.010212053733057506,-0.0004174651360547956,-0.008574910637579033,0.022824818716628465,0.022106342789590127,0.014212889486147847,0.01746202446630599,0.006751226612641473,0.004082464817245691,0.0017383424573939677,0.002205653869515445,-0.00021254141629337316,0.00041459408885394016,0.00018247604584844873,-0.001792053434725164,-0.005425998962183243
L2,0.14702704894188537,,0.2233813479580907,0.13308679522587114,0.056952274624485974,-0.015532110206069791,0.013903484459602676,0.06444118107282565,0.017566692991128688,0.01728048964055611,0.011133676612350929,0.013910543599001724,0.005855855795174611,0.004020420149756164,0.0020607651709010763,0.0026691118816368374,0.0007279144353118717,0.001344528555923139,0.0011782597685534423,-0.0002780966710397093,-0.0029643062108737975
L3,0.10559254349840881,0.2233813479580907,,0.05110071245599525,0.11602243481002851,-0.058968909858728207,0.0469421723392112,0.01599346129874573,0.011917085809535096,-0.006324723272769382,-0.054185778565854915,0.016891977349669362,-0.007589743209936246,-0.015984129714780453,-0.04072034764044848,-0.037279221346976144,0.03657864455000163,0.01485280064941149,0.0009074191563108085,-0.000745567461993969,-0.0037657617666490934
L4,0.01974940205184086,0.13308679522587116,0.05110071245599525,,0.03372854403787396,0.01621014111108231,0.0242203847228635,0.057110456209144345,0.02452955431133471,0.020051092009448785,-0.013052862891387431,0.04053332238564963,-0.06380497481679195,0.004213609661314054,0.0012849322987720183,0.0018421464026611937,-0.0011539543939497994,-0.0003203004651935225,-0.00059711967186531,-0.0029773925396736605,-0.007361927445263295
L5,0.007381862188159735,0.05695227462448598,0.11602243481002851,0.03372854403787396,,-0.09260132263251505,0.056694253887708344,0.014305060987654133,0.00120000164559118,0.026746939784714426,-0.005084441098714066,0.056160944523958214,-0.07014591111969173,-0.02997532594758407,-0.0440098081461989,0.034207279742198435,0.0021648308509172693,-0.0008110166323614621,-0.0014976091190733115,-0.004346658407091892,-0.009589975098457156
L6,-0.010212053733057506,-0.015532110206069791,-0.058968909858728207,0.01621014111108231,-0.09260132263251505,,-0.09353411248317157,0.07876167611854537,0.003248490717590973,0.011233505642263754,0.015994188827743165,0.012897772775263234,-0.03108177329031587,0.04566946450435864,-0.01188418301586176,0.06815152926859952,-0.03320237373108449,-0.06427500471014727,-0.0033062277479805717,-0.007587712834743929,0.0370185598859054
L7,-0.00041746513605479645,0.013903484459602676,0.046942172339211205,0.0242203847228635,0.056694253887708344,-0.09353411248317157,,-0.15332510001289093,0.13829964894661023,0.00026766283901191864,-0.05850633235110603,-0.09806096338186172,0.005575396792260181,-0.022414006655359194,-0.08993115748000542,0.00969001457774005,0.09341215785574909,0.007082865421897417,0.054555769505620307,-0.0017546789046426672,0.030345762188453192
L8,-0.008574910637579033,0.06444118107282565,0.01599346129874573,0.057110456209144345,0.014305060987654133,0.07876167611854537,-0.15332510001289093,,-0.1763727583308775,-0.021682624993473013,-0.06297555939530879,0.05959961212011611,-0.02910349024106343,-0.043851159316286845,0.06434740894685004,-0.004858071581337504,-0.037665130542512415,0.13814190125387768,-0.051642124804576445,0.08320987133124717,-0.008011405566194736
L9,0.02282481871662847,0.017566692991128688,0.011917085809535093,0.02452955431133471,0.00120000164559118,0.003248490717590973,0.13829964894661023,-0.1763727583308775,,-0.2173381029686228,0.03754106012768807,-0.11052685696714926,0.0016175695516012435,-0.0667521230634282,0.010062745740061486,-0.04851125004444731,0.02560720815089953,0.012134787942535679,0.08219597737785703,0.004986908917948019,-9.744380945029153e-05
L10,0.022106342789590127,0.01728048964055611,-0.00632472327276938,0.020051092009448785,0.02674693978471443,0.011233505642263754,0.0002676628390119191,-0.021682624993473017,-0.2173381029686228,,-0.07701337446072336,0.015268132768370985,0.006775837181748319,-0.02288621596307711,-0.05206135671565639,-0.08242064662090076,0.02323756220641894,0.11493799786939439,0.0033422296054359418,0.11068851523051376,-0.01256115570328668
