AccountId,AssessmentId,AssessmentVersionId,Score,DisplayScore,Percentage,Percentile,CreationDate,AssessmentResultId,AnswerTypeId,ResourceDescription,TotalResponses,CorrectResponses,BonusAwards,Level,FailedLevels,EarlyResponses,LateResponses
694707,20,114,27,2700,32.14285714,0,2025-10-14 10:50:57,6983278,2,Responses,27,27,,,,1,6
694707,20,114,27,2700,32.14285714,0,2025-10-14 10:50:57,6983278,3,Reaction Time,,,,,,,
694707,20,114,27,2700,32.14285714,0,2025-10-14 10:50:57,6983278,4,Level,,,,11,"8:1:6,11:1:9,12:1:10,12:2:10,12:3:10",,
694707,20,114,27,2700,32.14285714,0,2025-10-14 10:50:57,6983278,6,Bonus Awards,,,0,,,,
694779,20,114,44,4400,52.38095238,0,2025-10-14 10:45:10,6983259,2,Responses,51,44,,,,5,3
694779,20,114,44,4400,52.38095238,0,2025-10-14 10:45:10,6983259,3,Reaction Time,,,,,,,
694779,20,114,44,4400,52.38095238,0,2025-10-14 10:45:10,6983259,4,Level,,,,17,"13:1:11,14:1:13,15:1:14,17:1:15,18:1:17",,
694779,20,114,44,4400,52.38095238,0,2025-10-14 10:45:10,6983259,6,Bonus Awards,,,0,,,,
694850,20,114,40,4000,47.61904762,0,2025-10-14 10:39:37,6983245,2,Responses,41,40,,,,1,3
694850,20,114,40,4000,47.61904762,0,2025-10-14 10:39:37,6983245,3,Reaction Time,,,,,,,
694850,20,114,40,4000,47.61904762,0,2025-10-14 10:39:37,6983245,4,Level,,,,16,"12:1:11,14:1:12,15:1:14,17:1:15,17:2:16",,
694850,20,114,40,4000,47.61904762,0,2025-10-14 10:39:37,6983245,6,Bonus Awards,,,0,,,,
694726,20,114,20,2000,23.80952381,0,2025-10-14 10:34:29,6983233,2,Responses,22,20,,,,2,4
694726,20,114,20,2000,23.80952381,0,2025-10-14 10:34:29,6983233,3,Reaction Time,,,,,,,
694726,20,114,20,2000,23.80952381,0,2025-10-14 10:34:29,6983233,4,Level,,,,10,"9:1:8,10:1:8,10:2:8,10:3:9,11:1:9",,
694726,20,114,20,2000,23.80952381,0,2025-10-14 10:34:29,6983233,6,Bonus Awards,,,0,,,,
694745,20,114,16,1600,19.04761905,0,2025-10-14 10:20:29,6983188,2,Responses,17,16,,,,0,7
694745,20,114,16,1600,19.04761905,0,2025-10-14 10:20:29,6983188,3,Reaction Time,,,,,,,
694745,20,114,16,1600,19.04761905,0,2025-10-14 10:20:29,6983188,4,Level,,,,8,"8:1:6,8:2:6,9:1:7,9:2:7,9:3:7",,
694745,20,114,16,1600,19.04761905,0,2025-10-14 10:20:29,6983188,6,Bonus Awards,,,0,,,,
694747,20,114,31,3100,36.9047619,0,2025-10-14 10:12:02,6983170,2,Responses,35,31,,,,2,0
694747,20,114,31,3100,36.9047619,0,2025-10-14 10:12:02,6983170,3,Reaction Time,,,,,,,
694747,20,114,31,3100,36.9047619,0,2025-10-14 10:12:02,6983170,4,Level,,,,13,"13:1:11,13:2:12,13:3:12,14:1:12,14:2:13",,
694747,20,114,31,3100,36.9047619,0,2025-10-14 10:12:02,6983170,6,Bonus Awards,,,0,,,,
694736,20,114,54,5400,64.28571429,0,2025-10-14 09:58:10,6983142,2,Responses,58,54,,,,1,4
694736,20,114,54,5400,64.28571429,0,2025-10-14 09:58:10,6983142,3,Reaction Time,,,,,,,
694736,20,114,54,5400,64.28571429,0,2025-10-14 09:58:10,6983142,4,Level,,,,21,"19:1:18,20:1:19,20:2:19,21:1:20,22:1:20",,
694736,20,114,54,5400,64.28571429,0,2025-10-14 09:58:10,6983142,6,Bonus Awards,,,0,,,,
694777,20,114,42,4200,50,0,2025-10-14 09:57:19,6983140,2,Responses,45,42,,,,1,1
694777,20,114,42,4200,50,0,2025-10-14 09:57:19,6983140,3,Reaction Time,,,,,,,
694777,20,114,42,4200,50,0,2025-10-14 09:57:19,6983140,4,Level,,,,17,"11:1:9,11:2:10,12:1:10,14:1:13,18:1:16",,
694777,20,114,42,4200,50,0,2025-10-14 09:57:19,6983140,6,Bonus Awards,,,0,,,,
694729,20,114,62,6200,73.80952381,0,2025-10-14 09:42:37,6983104,2,Responses,66,62,,,,15,14
694729,20,114,62,6200,73.80952381,0,2025-10-14 09:42:37,6983104,3,Reaction Time,,,,,,,
694729,20,114,62,6200,73.80952381,0,2025-10-14 09:42:37,6983104,4,Level,,,,23,"19:1:17,23:1:21,23:2:22,23:3:22,24:1:23",,
694729,20,114,62,6200,73.80952381,0,2025-10-14 09:42:37,6983104,6,Bonus Awards,,,0,,,,
694209,20,114,17,1700,20.23809524,0,2025-10-14 09:38:06,6983095,2,Responses,19,17,,,,0,3
694209,20,114,17,1700,20.23809524,0,2025-10-14 09:38:06,6983095,3,Reaction Time,,,,,,,
694209,20,114,17,1700,20.23809524,0,2025-10-14 09:38:06,6983095,4,Level,,,,8,"7:1:5,8:1:6,9:1:7,9:2:7,9:3:8",,
694209,20,114,17,1700,20.23809524,0,2025-10-14 09:38:06,6983095,6,Bonus Awards,,,0,,,,
694751,20,114,20,2000,23.80952381,0,2025-10-14 09:14:09,6983052,2,Responses,20,20,,,,0,5
694751,20,114,20,2000,23.80952381,0,2025-10-14 09:14:09,6983052,3,Reaction Time,,,,,,,
694751,20,114,20,2000,23.80952381,0,2025-10-14 09:14:09,6983052,4,Level,,,,10,"8:1:7,9:1:8,10:1:8,11:1:9,11:2:9",,
694751,20,114,20,2000,23.80952381,0,2025-10-14 09:14:09,6983052,6,Bonus Awards,,,0,,,,
694710,20,114,49,4900,58.33333333,0,2025-10-14 08:59:44,6983033,2,Responses,50,49,,,,1,8
694710,20,114,49,4900,58.33333333,0,2025-10-14 08:59:44,6983033,3,Reaction Time,,,,,,,
694710,20,114,49,4900,58.33333333,0,2025-10-14 08:59:44,6983033,4,Level,,,,18,"16:1:15,17:1:15,17:2:16,17:3:16,19:1:18",,
694710,20,114,49,4900,58.33333333,0,2025-10-14 08:59:44,6983033,6,Bonus Awards,,,0,,,,
694372,20,114,33,3300,39.28571429,0,2025-10-14 08:59:12,6983032,2,Responses,33,33,,,,0,3
694372,20,114,33,3300,39.28571429,0,2025-10-14 08:59:12,6983032,3,Reaction Time,,,,,,,
694372,20,114,33,3300,39.28571429,0,2025-10-14 08:59:12,6983032,4,Level,,,,13,"12:1:10,12:2:11,12:3:11,13:1:11,14:1:13",,
694372,20,114,33,3300,39.28571429,0,2025-10-14 08:59:12,6983032,6,Bonus Awards,,,0,,,,
