item_id,a,b,difficulty,speedup,releaseInterval,levelUpHits
0,1.0,-3.0,2,0,2695,3
1,1.0,-2.8378378378378377,2,0,2685,3
2,1.0,-2.675675675675675,2,0,2673,3
3,1.0,-2.5135135135135136,2,0,2661,3
4,1.0,-2.3513513513513513,2,0,2649,3
5,1.0,-2.189189189189189,2,0,2638,3
6,1.0,-2.027027027027027,2,0,2629,3
7,1.0,-1.864864864864865,2,0,2622,3
8,1.0,-1.7027027027027026,2,0,2616,3
9,1.0,-1.5405405405405403,2,0,2611,3
10,1.0,-1.3783783783783785,2,0,2607,3
11,1.0,-1.2162162162162162,2,0,2604,3
12,1.0,-1.054054054054054,2,0,2500,3
13,1.0,-0.8918918918918917,2,0,2500,3
14,1.0,-0.7297297297297298,2,0,2500,3
15,1.0,-0.5675675675675675,2,0,2500,3
16,1.0,-0.4054054054054052,2,0,2500,3
17,1.0,-0.2432432432432429,2,0,2500,3
18,1.0,-0.0810810810810807,2,0,2500,3
19,1.0,0.0810810810810811,2,-186,2500,3
20,1.0,0.2432432432432434,2,-195,2500,3
21,1.0,0.4054054054054057,2,-203,2500,3
22,1.0,0.5675675675675675,2,-210,2500,3
23,1.0,0.7297297297297298,3,-403,2500,3
24,1.0,0.8918918918918921,3,-411,2500,3
25,1.0,1.0540540540540544,3,-418,2500,3
26,1.0,1.216216216216217,3,-610,2500,3
27,1.0,1.378378378378379,3,-615,2500,3
28,1.0,1.5405405405405403,3,-619,2500,3
29,1.0,1.7027027027027026,3,-623,2500,3
30,1.0,1.864864864864865,3,-625,2500,3
31,1.0,2.027027027027027,3,-627,2500,3
32,1.0,2.1891891891891895,3,-628,2500,3
33,1.0,2.351351351351352,4,-803,2500,3
34,1.0,2.513513513513514,4,-804,2500,3
35,1.0,2.6756756756756763,4,-805,2500,3
36,1.0,2.8378378378378386,4,-806,2500,3
37,1.0,3.0,4,-806,2500,3
