participant_id,level,sub,attempt_idx,success,failures_used,a,b,c,theta
P1,1,1,1,1,0,2.53575463119548,-2.54373967878776,0.0,0.93196889613231
P1,1,2,1,1,0,2.53575463119548,-2.54373967878776,0.0,0.93196889613231
P1,1,3,1,1,0,2.53575463119548,-2.54373967878776,0.0,0.93196889613231
P1,2,1,1,1,0,3.74584367045735,-2.54186778047907,0.0,0.93196889613231
P1,2,2,1,1,0,3.74584367045735,-2.54186778047907,0.0,0.93196889613231
P1,2,3,1,1,0,3.74584367045735,-2.54186778047907,0.0,0.93196889613231
P1,3,1,1,1,0,1.62286811835918,-2.51939703992102,0.0,0.93196889613231
P1,3,2,1,1,0,1.62286811835918,-2.51939703992102,0.0,0.93196889613231
P1,3,3,1,1,0,1.62286811835918,-2.51939703992102,0.0,0.93196889613231
P1,4,1,1,1,0,1.8657258177397,-1.80481972884625,0.0,0.93196889613231
P1,4,2,1,1,0,1.8657258177397,-1.80481972884625,0.0,0.93196889613231
P1,4,3,1,1,0,1.8657258177397,-1.80481972884625,0.0,0.93196889613231
P1,5,1,1,1,0,2.10984433229192,-1.2208666336445,0.0,0.93196889613231
P1,5,2,1,1,0,2.10984433229192,-1.2208666336445,0.0,0.93196889613231
P1,5,3,1,1,0,2.10984433229192,-1.2208666336445,0.0,0.93196889613231
P1,6,1,1,1,0,2.57547722404081,-1.06660843663883,0.0,0.93196889613231
P1,6,2,1,1,0,2.57547722404081,-1.06660843663883,0.0,0.93196889613231
P1,6,3,1,1,0,2.57547722404081,-1.06660843663883,0.0,0.93196889613231
P1,7,1,1,1,0,2.49705209633582,-0.810631129810022,0.0,0.93196889613231
P1,7,2,1,1,0,2.49705209633582,-0.810631129810022,0.0,0.93196889613231
P1,7,3,1,1,0,2.49705209633582,-0.810631129810022,0.0,0.93196889613231
P1,8,1,1,1,0,2.83974491578694,-0.695732139736016,0.0,0.93196889613231
P1,8,2,1,1,0,2.83974491578694,-0.695732139736016,0.0,0.93196889613231
P1,8,3,1,1,0,2.83974491578694,-0.695732139736016,0.0,0.93196889613231
P1,9,1,1,1,0,2.81370429197531,-0.571760959684828,0.0,0.93196889613231
P1,9,2,1,1,0,2.81370429197531,-0.571760959684828,0.0,0.93196889613231
P1,9,3,1,1,0,2.81370429197531,-0.571760959684828,0.0,0.93196889613231
P1,10,1,1,1,0,3.07268699153996,0.0688790090424727,0.0,0.93196889613231
P1,10,2,1,1,0,3.07268699153996,0.0688790090424727,0.0,0.93196889613231
P1,10,3,1,1,0,3.07268699153996,0.0688790090424727,0.0,0.93196889613231
P1,11,1,1,1,0,2.8778338954287,0.469069252198673,0.0,0.93196889613231
P1,11,2,1,1,0,2.8778338954287,0.469069252198673,0.0,0.93196889613231
P1,11,3,1,1,0,2.8778338954287,0.469069252198673,0.0,0.93196889613231
P1,12,1,1,1,0,1.85023453011675,0.439027781732682,0.0,0.93196889613231
P1,12,2,1,0,0,1.85023453011675,0.439027781732682,0.0,0.93196889613231
P1,12,2,2,1,1,1.85023453011675,0.439027781732682,0.0,0.93196889613231
P1,12,3,1,1,1,1.85023453011675,0.439027781732682,0.0,0.93196889613231
P1,13,1,1,1,1,2.8676993930155,0.612395677266052,0.0,0.93196889613231
P1,13,2,1,0,1,2.8676993930155,0.612395677266052,0.0,0.93196889613231
P1,13,2,2,1,2,2.8676993930155,0.612395677266052,0.0,0.93196889613231
P1,13,3,1,1,2,2.8676993930155,0.612395677266052,0.0,0.93196889613231
P1,14,1,1,0,2,2.24366192338983,0.386217647199829,0.0,0.93196889613231
P1,14,1,2,1,3,2.24366192338983,0.386217647199829,0.0,0.93196889613231
P1,14,2,1,1,3,2.24366192338983,0.386217647199829,0.0,0.93196889613231
P1,14,3,1,1,3,2.24366192338983,0.386217647199829,0.0,0.93196889613231
P1,15,1,1,1,3,1.95478853968378,0.0246085668738279,0.0,0.93196889613231
P1,15,2,1,0,3,1.95478853968378,0.0246085668738279,0.0,0.93196889613231
P1,15,2,2,1,4,1.95478853968378,0.0246085668738279,0.0,0.93196889613231
P1,15,3,1,1,4,1.95478853968378,0.0246085668738279,0.0,0.93196889613231
P1,16,1,1,1,4,2.28346220377164,0.822695160027271,0.0,0.93196889613231
P1,16,2,1,0,4,2.28346220377164,0.822695160027271,0.0,0.93196889613231
P2,1,1,1,1,0,2.53575463119548,-2.54373967878776,0.0,0.847899026528058
