"item_id","a","b","c"
"L1",1.69836720255176,-2.9969664698193,0
"L2",2.45179849837855,-3.05750302071984,0
"L3",2.3502183103813,-2.73540018833973,0
"L4",1.94777904040082,-2.3809887530772,0
"L5",2.10152818720517,-1.994431801653,0
"L6",1.63144799104453,-0.972507407879695,0
"L7",1.40103597076222,0.50034900161665,0
"L8",2.74062263027356,0.402990593112734,0
"L9",2.77384202390029,0.887069806566871,0
"L10",3.71266037684451,1.17894543990731,0
"L11",5.10240029469907,1.45436775911214,0
"L12",7.55576762533589,1.51456064594328,0
"L13",8.41352175084653,1.7197133128132,0
"L14",10.4737983614932,1.70748467154955,0
"L15",12.5098923369864,1.75919785076519,0
"L16",12.0813938307132,1.82864573057073,0
"L17",12.2059902619469,1.87339934108362,0
"L18",14.5679092149852,1.88898704156953,0
"L19",14.8537591067529,1.93752295687818,0
"L20",16.9831912619022,2.00480410765825,0
"L21",21.6269761417671,2.03947005485781,0
