,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
130850,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163974,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
168052,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227411,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
258059,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
319886,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321537,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
324619,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327467,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
354148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
355470,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
363033,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
365813,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373957,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378496,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399550,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
424204,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
434201,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
435008,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
438966,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
440657,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456167,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
457352,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
465398,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
465643,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467137,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
467967,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
477235,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480543,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
481898,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
483241,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494007,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494308,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499918,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
511043,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519157,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
519253,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
520956,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532790,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535993,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
539295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541635,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542132,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542395,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
547684,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
549886,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
550843,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553564,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555069,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555733,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
556150,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559753,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562792,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
