,AccountId,Score,Percentage
1,78937,6,28.57142857
3,130850,8,38.0952381
4,145837,16,76.19047619
5,160816,6,28.57142857
7,163974,18,85.71428571
8,168052,6,28.57142857
9,174848,9,42.85714286
10,175418,21,100.0
11,176775,21,100.0
12,227411,21,100.0
13,244342,7,33.33333333
14,249296,6,28.57142857
15,258059,8,38.0952381
16,259238,21,100.0
17,260856,6,28.57142857
18,263990,6,28.57142857
19,264347,8,38.0952381
20,277937,6,28.57142857
21,281307,7,33.33333333
22,283194,6,28.57142857
23,283335,5,23.80952381
24,298880,6,28.57142857
25,300062,6,28.57142857
26,300502,7,33.33333333
27,301846,21,100.0
28,302346,5,23.80952381
29,302815,9,42.85714286
30,303126,10,47.61904762
31,306729,8,38.0952381
32,310064,7,33.33333333
34,312080,7,33.33333333
35,313120,5,23.80952381
36,313391,6,28.57142857
37,314282,5,23.80952381
38,315984,6,28.57142857
39,316333,8,38.0952381
40,316361,9,42.85714286
41,316433,4,19.04761905
42,319691,8,38.0952381
43,319886,6,28.57142857
44,320756,5,23.80952381
45,320785,8,38.0952381
47,321115,6,28.57142857
48,321537,9,42.85714286
49,321609,21,100.0
50,321914,20,95.23809524
51,322019,7,33.33333333
52,322087,21,100.0
53,322172,7,33.33333333
54,322309,0,0.0
55,322559,8,38.0952381
56,322934,8,38.0952381
57,323461,21,100.0
58,323793,6,28.57142857
61,324137,14,66.66666667
62,324284,12,57.14285714
63,324615,9,42.85714286
64,324619,6,28.57142857
65,325107,20,95.23809524
67,325868,21,100.0
68,326266,9,42.85714286
69,326316,6,28.57142857
70,327271,5,23.80952381
71,327459,8,38.0952381
72,327467,8,38.0952381
73,327501,5,23.80952381
74,327502,12,57.14285714
75,327574,9,42.85714286
76,328473,9,42.85714286
78,329191,6,28.57142857
79,330723,3,14.28571429
80,330752,9,42.85714286
81,332332,6,28.57142857
82,332693,8,38.0952381
83,333530,7,33.33333333
84,333882,9,42.85714286
85,334503,9,42.85714286
86,335276,6,28.57142857
87,335894,6,28.57142857
88,335906,5,23.80952381
89,336453,6,28.57142857
90,336538,10,47.61904762
91,337371,21,100.0
92,339048,5,23.80952381
93,339842,7,33.33333333
94,341486,21,100.0
96,343441,7,33.33333333
97,344280,21,100.0
98,346898,10,47.61904762
99,347382,7,33.33333333
100,350298,8,38.0952381
101,351275,21,100.0
102,352244,8,38.0952381
103,352401,6,28.57142857
104,352961,10,47.61904762
105,353861,0,0.0
106,354148,21,100.0
107,354372,9,42.85714286
108,354489,8,38.0952381
109,354594,21,100.0
110,354723,6,28.57142857
111,355451,9,42.85714286
112,355470,12,57.14285714
113,355526,21,100.0
114,356057,9,42.85714286
115,356407,7,33.33333333
116,356562,6,28.57142857
117,357039,21,100.0
118,357641,9,42.85714286
119,357642,6,28.57142857
122,358344,6,28.57142857
123,359418,5,23.80952381
124,359771,6,28.57142857
125,359886,21,100.0
126,361079,0,0.0
127,361486,21,100.0
128,362139,14,66.66666667
129,363033,8,38.0952381
130,363809,6,28.57142857
131,364270,5,23.80952381
132,364538,3,14.28571429
133,364664,7,33.33333333
134,364867,9,42.85714286
135,365436,8,38.0952381
136,365444,19,90.47619048
137,365813,5,23.80952381
138,366164,4,19.04761905
139,366622,11,52.38095238
140,366874,21,100.0
141,367508,7,33.33333333
142,367684,7,33.33333333
145,367733,7,33.33333333
146,368800,8,38.0952381
150,369866,18,85.71428571
151,369890,9,42.85714286
153,370512,5,23.80952381
154,370874,9,42.85714286
155,370963,21,100.0
156,372956,8,38.0952381
157,373431,8,38.0952381
158,373957,7,33.33333333
159,375476,6,28.57142857
160,377480,8,38.0952381
161,377645,7,33.33333333
162,378496,7,33.33333333
164,378711,19,90.47619048
165,378966,8,38.0952381
166,379843,7,33.33333333
167,382466,6,28.57142857
168,383044,5,23.80952381
169,383188,11,52.38095238
173,383340,6,28.57142857
175,384912,6,28.57142857
176,385439,6,28.57142857
177,386083,8,38.0952381
178,386091,12,57.14285714
179,386289,6,28.57142857
180,388148,10,47.61904762
181,388502,4,19.04761905
182,388558,21,100.0
183,389567,8,38.0952381
184,390242,5,23.80952381
185,393093,12,57.14285714
186,393128,9,42.85714286
187,393367,21,100.0
188,393539,6,28.57142857
189,393818,5,23.80952381
190,393998,20,95.23809524
191,394321,5,23.80952381
192,394733,10,47.61904762
193,394805,12,57.14285714
194,395289,6,28.57142857
195,395418,8,38.0952381
196,395510,5,23.80952381
197,395766,6,28.57142857
198,396497,8,38.0952381
199,398662,9,42.85714286
201,398756,10,47.61904762
202,399076,6,28.57142857
203,399078,13,61.9047619
204,399543,6,28.57142857
205,399550,8,38.0952381
207,399904,21,100.0
208,400508,4,19.04761905
209,400606,10,47.61904762
210,400923,6,28.57142857
211,401276,8,38.0952381
212,401343,15,71.42857143
213,401437,5,23.80952381
214,401598,8,38.0952381
215,401787,10,47.61904762
217,401971,7,33.33333333
220,402042,6,28.57142857
221,402793,8,38.0952381
222,403345,21,100.0
223,405095,6,28.57142857
224,409100,8,38.0952381
225,409583,20,95.23809524
227,409752,6,28.57142857
228,409900,9,42.85714286
229,410533,7,33.33333333
230,411170,5,23.80952381
231,411613,8,38.0952381
232,412989,8,38.0952381
233,413143,5,23.80952381
234,413850,11,52.38095238
235,414562,6,28.57142857
236,415207,6,28.57142857
237,417088,8,38.0952381
238,417775,21,100.0
239,417836,6,28.57142857
240,419024,4,19.04761905
241,419032,9,42.85714286
242,420017,10,47.61904762
243,420043,6,28.57142857
245,420076,15,71.42857143
246,421192,6,28.57142857
247,422208,8,38.0952381
248,422478,5,23.80952381
249,423851,21,100.0
250,424204,8,38.0952381
251,424570,21,100.0
252,424860,6,28.57142857
253,425348,3,14.28571429
254,425749,9,42.85714286
255,426311,5,23.80952381
256,427143,21,100.0
257,427317,5,23.80952381
259,427720,6,28.57142857
260,428182,3,14.28571429
261,428210,5,23.80952381
262,428875,6,28.57142857
263,429041,6,28.57142857
264,429046,21,100.0
265,430482,6,28.57142857
266,430711,7,33.33333333
267,431290,6,28.57142857
268,433749,6,28.57142857
269,434201,9,42.85714286
270,435008,9,42.85714286
271,435049,9,42.85714286
272,435402,6,28.57142857
273,436071,21,100.0
274,436166,6,28.57142857
