"item_id","a","b","c"
"L1_A1",0.443225862216395,-2.97390364301594,0.00075575763031755
"L1_A2",0.783112657300051,-4.2062429212676,0.00103750722363896
"L1_A3",1.22287149871604,-3.76737783512697,0.00108264016755388
"L2_A1",0.623827489821981,-4.96573603045332,0.00189566130289795
"L2_A2",1.09309499092739,-4.50398244470846,0.00141765742093422
"L2_A3",1.2117936925085,-4.55303799563997,0.00153247113995382
"L3_A1",0.609156506291794,-3.5469646202971,0.000768389396177603
"L3_A2",1.03400097896025,-3.99123535119842,0.00098740220626093
"L3_A3",1.44431373395261,-3.86499760142568,0.000896823168113365
"L4_A1",0.699018664982773,-1.30533868796504,0.000234241057783925
"L4_A2",0.965120529671929,-2.7570263880306,0.00031869760862991
"L4_A3",1.67775365596222,-2.75844951723158,0.000344916563163856
"L5_A1",0.680471830006862,-1.69725923351236,0.000176057448120217
"L5_A2",1.74653160468289,-2.08475463981203,0.000166224737074925
"L5_A3",2.10321924759709,-2.19253318257288,0.000177186080496849
"L6_A1",1.22468357983949,0.134071970660614,2.88175781524422e-05
"L6_A2",1.58691748823047,-0.382773420152292,3.85537626028648e-05
"L6_A3",1.69753844309392,-0.864862918460571,0.000167653260491038
"L7_A1",1.21253166860286,2.16368540995057,1.50463360773678e-05
"L7_A2",1.33696215805182,1.42857460226624,1.5629590398672e-05
"L7_A3",1.58036101182669,0.718848131997798,2.80956736140703e-05
"L8_A1",1.82947291279035,1.62836686143711,9.08748548392271e-06
"L8_A2",2.12819755881821,0.934086374500817,1.17648309939279e-05
"L8_A3",2.56291556915196,0.710516896785563,1.40177426946237e-05
"L9_A1",2.53987776123518,1.73486364492393,6.56711661185247e-06
"L9_A2",2.64274207741245,1.47149882513093,7.22386492341295e-06
"L9_A3",3.39514314323832,1.09005180820874,8.62532432116674e-06
"L10_A1",4.56589399298467,1.96845426540425,4.84738246362036e-06
"L10_A2",4.31021585549393,1.58153724920381,5.40804752637026e-06
"L10_A3",4.67207331469061,1.38293451234923,7.11854752154514e-06
"L11_A1",5.29817371751119,1.95789732531067,4.60403284067626e-06
"L11_A2",5.1092696940951,1.74822516842515,5.06505617025628e-06
"L11_A3",5.73638827110549,1.67923398011938,5.12111331492397e-06
"L12_A1",5.81257541051978,1.95391573873642,4.27992417913631e-06
"L12_A2",7.42825148125781,1.78225597422962,4.30888021385313e-06
"L12_A3",10.4317916976905,1.68994038946549,4.63541884812331e-06
"L13_A1",7.30560802103788,2.04701209301587,4.0221987512073e-06
"L13_A2",8.12243683143238,1.94301913497552,4.10081972301954e-06
"L13_A3",9.66976486723786,1.86458622364463,4.21115487768474e-06
"L14_A1",9.54987369190042,2.06384611412437,3.89450582609576e-06
"L14_A2",13.977747070763,1.99398363421712,3.86489801200272e-06
"L14_A3",14.0441428779446,1.90928807965325,4.27051797649529e-06
"L15_A1",10.1561034805596,2.1119180279033,3.89804767365686e-06
"L15_A2",10.0340048513025,2.00764472297595,3.94201578845722e-06
"L15_A3",12.2117433973699,1.95831296991418,3.92419936195929e-06
"L16_A1",12.4598629642758,2.10340539553235,3.84401422364955e-06
"L16_A2",11.2306582831833,2.01075374855341,3.9162169739022e-06
"L16_A3",16.6214744475651,1.93916248433026,3.9461997721994e-06
"L17_A1",15.9446649609651,2.15533425635005,3.75900428659306e-06
"L17_A2",18.4975172210432,2.08315453120386,3.82488161526919e-06
"L17_A3",18.1588167546771,2.02304775486307,3.90524677495156e-06
"L18_A1",17.6954189925648,2.13184353487072,3.7954453190142e-06
"L18_A2",16.8192447413496,2.09371865479996,3.81528951376439e-06
"L18_A3",23.0364073994913,2.03230065824422,3.82206401007044e-06
"L19_A1",17.0626514359249,2.11320076811522,3.81210169607892e-06
"L19_A2",21.1325796976841,2.07154103959268,3.81062438429736e-06
"L19_A3",25.9419992282646,2.05585028437398,3.80492410520105e-06
"L20_A1",18.302469810242,2.17232065976067,3.78404131260051e-06
"L20_A2",16.2609282163345,2.0990581716289,3.81760249226368e-06
"L20_A3",19.9402956498088,2.06267944691198,3.81612951959825e-06
"L21_A1",11.5945467291206,2.22147372959116,3.76631655028261e-06
"L21_A2",15.7967930183653,2.14995828470298,3.80074835615434e-06
"L21_A3",19.0917130169785,2.09810052609755,3.80848931477285e-06
