AccountId,AssessmentId,AssessmentVersionId,Score,DisplayScore,Percentage,Percentile,CreationDate,AnswerTypeId,TotalResponses,CorrectResponses,ReactionTime,BonusAwards,Level,FailedLevels
676715,5,150,9,800,60,0,2025-10-14 10:47:41,2,18,8,,,,
676715,5,150,9,800,60,0,2025-10-14 10:47:41,3,,,6.189142857,,,
676715,5,150,9,800,60,0,2025-10-14 10:47:41,4,,,,0,9,"6:1:5,8:1:4,8:2:7,8:3:2,10:1:5,10:2:4,10:3:7,11:1:4,11:2:6,11:3:7"
676715,5,150,9,800,60,0,2025-10-14 10:47:41,6,,,,0,,
694859,5,150,7,700,46.66666667,0,2025-10-14 10:22:39,2,13,7,,,,
694859,5,150,7,700,46.66666667,0,2025-10-14 10:22:39,3,,,2.709333333,,,
694859,5,150,7,700,46.66666667,0,2025-10-14 10:22:39,4,,,,0,7,"8:1:8,8:2:3,8:3:6,9:1:9,9:2:5,9:3:7"
694859,5,150,7,700,46.66666667,0,2025-10-14 10:22:39,6,,,,0,,
694482,5,150,7,700,46.66666667,0,2025-10-14 10:10:04,2,13,7,,,,
694482,5,150,7,700,46.66666667,0,2025-10-14 10:10:04,3,,,3.909166667,,,
694482,5,150,7,700,46.66666667,0,2025-10-14 10:10:04,4,,,,0,7,"8:1:6,8:2:5,8:3:1,9:1:5,9:2:3,9:3:1"
694482,5,150,7,700,46.66666667,0,2025-10-14 10:10:04,6,,,,0,,
694421,5,150,13,1200,86.66666667,0,2025-10-14 09:40:43,2,23,12,,,,
694421,5,150,13,1200,86.66666667,0,2025-10-14 09:40:43,3,,,25.33172727,,,
694421,5,150,13,1200,86.66666667,0,2025-10-14 09:40:43,4,,,,0,13,"10:1:8,10:2:1,10:3:1,13:1:13,13:2:11,14:1:13,14:2:13,14:3:12,15:1:15,15:2:13,15:3:12"
694421,5,150,13,1200,86.66666667,0,2025-10-14 09:40:43,6,,,,0,,
694423,5,150,7,700,46.66666667,0,2025-10-14 09:25:30,2,15,7,,,,
694423,5,150,7,700,46.66666667,0,2025-10-14 09:25:30,3,,,2.742833333,,,
694423,5,150,7,700,46.66666667,0,2025-10-14 09:25:30,4,,,,0,7,"4:1:4,4:2:0,8:1:7,8:2:7,8:3:6,9:1:7,9:2:9,9:3:7"
694423,5,150,7,700,46.66666667,0,2025-10-14 09:25:30,6,,,,0,,
694517,5,150,7,600,46.66666667,0,2025-10-14 08:07:10,2,16,6,,,,
694517,5,150,7,600,46.66666667,0,2025-10-14 08:07:10,3,,,4.984,,,
694517,5,150,7,600,46.66666667,0,2025-10-14 08:07:10,4,,,,0,7,"5:1:4,6:1:2,6:2:3,6:3:4,8:1:6,8:2:4,8:3:0,9:1:3,9:2:5,9:3:7"
694517,5,150,7,600,46.66666667,0,2025-10-14 08:07:10,6,,,,0,,
694125,5,150,10,900,66.66666667,0,2025-10-14 07:32:22,2,22,9,,,,
694125,5,150,10,900,66.66666667,0,2025-10-14 07:32:22,3,,,4.00475,,,
694125,5,150,10,900,66.66666667,0,2025-10-14 07:32:22,4,,,,0,10,"4:1:3,5:1:5,8:1:0,9:1:9,9:2:9,9:3:9,10:1:7,11:1:11,11:2:3,11:3:0,12:1:7,12:2:7,12:3:4"
694125,5,150,10,900,66.66666667,0,2025-10-14 07:32:22,6,,,,0,,
694678,5,150,9,800,60,0,2025-10-14 04:33:51,2,17,8,,,,
694678,5,150,9,800,60,0,2025-10-14 04:33:51,3,,,1.556285714,,,
694678,5,150,9,800,60,0,2025-10-14 04:33:51,4,,,,0,9,"8:1:3,8:2:6,8:3:8,10:1:8,10:2:4,10:3:7,11:1:5,11:2:11,11:3:11"
694678,5,150,9,800,60,0,2025-10-14 04:33:51,6,,,,0,,
693037,5,150,8,800,53.33333333,0,2025-10-14 01:02:54,2,17,8,,,,
693037,5,150,8,800,53.33333333,0,2025-10-14 01:02:54,3,,,3.053,,,
693037,5,150,8,800,53.33333333,0,2025-10-14 01:02:54,4,,,,0,8,"4:1:4,6:1:6,7:1:7,9:1:9,9:2:5,9:3:5,10:1:7,10:2:5,10:3:4"
693037,5,150,8,800,53.33333333,0,2025-10-14 01:02:54,6,,,,0,,
694566,5,150,15,1400,100,0,2025-10-13 23:03:02,2,19,14,,,,
694566,5,150,15,1400,100,0,2025-10-13 23:03:02,3,,,6.034153846,,,
