level,difficulty_functions,operations,n_functions,releaseInterval,speedup,bonus,balloon_lifetime_min,balloon_lifetime_max,functions_raw
1,"[1, 1, 1]",['addition'],3,3200.0,0,0.0,10000,12000,"[{'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]"
2,"[2, 1, 2]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]"
3,"[3, 2, 1]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]"
4,"[4, 3, 2]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]"
5,"[5, 4, 3]","['addition', 'multiplication', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}]"
6,"[6, 5, 4]","['division', 'multiplication', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}]"
7,"[7, 6, 5]","['addition', 'division', 'multiplication']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}, {'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}]"
8,"[8, 7, 6]","['addition', 'division', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}, {'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}, {'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}]"
9,"[9, 8, 7]","['addition', 'fraction', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}, {'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}]"
10,"[10, 9, 8]","['addition', 'fraction', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'addition', 'left': {'min': 11, 'max': 60}, 'right': {'min': 11, 'max': 30}}, {'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}]"
11,"[11, 10, 9]","['addition', 'fraction', 'percentage']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'percentage', 'left': [10, 20, 50], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'addition', 'left': {'min': 11, 'max': 60}, 'right': {'min': 11, 'max': 30}}, {'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}]"
12,"[12, 11, 10]","['addition', 'percentage', 'subtraction']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'subtraction', 'left': {'min': 21, 'max': 70}, 'right': {'min': 11, 'max': 30}}, {'operation': 'percentage', 'left': [10, 20, 50], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'addition', 'left': {'min': 11, 'max': 60}, 'right': {'min': 11, 'max': 30}}]"
