level,difficulty_functions,operations,n_functions,releaseInterval,speedup,bonus,balloon_lifetime_min,balloon_lifetime_max,functions_raw,operations_parsed,has_addition,has_subtraction,has_multiplication,has_division,has_fraction,has_percentage,pred_b,pred_a,a,b,has_irt
1,"[1, 1, 1]",['addition'],3,3200.0,0,0.0,10000,12000,"[{'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]",['addition'],1,0,0,0,0,0,-3.6027668409701974,2.045198554763312,,,0
2,"[2, 1, 2]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]","['addition', 'subtraction']",1,1,0,0,0,0,-2.5806204213275876,1.8797639973270837,1.80642696812367,-2.97857544323789,1
3,"[3, 2, 1]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]","['addition', 'subtraction']",1,1,0,0,0,0,-2.5806204213275876,1.8797639973270837,2.38410504983737,-3.03424959386054,1
4,"[4, 3, 2]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]","['addition', 'subtraction']",1,1,0,0,0,0,-2.5806204213275876,1.8797639973270837,1.73812247044942,-2.67131239263881,1
5,"[5, 4, 3]","['addition', 'multiplication', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}]","['addition', 'multiplication', 'subtraction']",1,1,1,0,0,0,-2.3664469001997706,2.5562221764352584,1.85414884001801,-1.98664364829,1
6,"[6, 5, 4]","['division', 'multiplication', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}]","['division', 'multiplication', 'subtraction']",0,1,1,1,0,0,-1.0674144120779925,3.4905690395027014,2.07280801120734,-1.29549663465827,1
7,"[7, 6, 5]","['addition', 'division', 'multiplication']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}, {'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}]","['addition', 'division', 'multiplication']",1,0,1,1,0,0,-0.8748979719030032,3.9054183084957153,2.78098392769502,-1.10582218397462,1
8,"[8, 7, 6]","['addition', 'division', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}, {'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}, {'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}]","['addition', 'division', 'subtraction']",1,1,0,1,0,0,-1.189535049561739,1.5125042739094559,2.91320220429956,-0.844614445511026,1
9,"[9, 8, 7]","['addition', 'fraction', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}, {'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}]","['addition', 'fraction', 'subtraction']",1,1,0,0,1,0,-0.8814115111015344,2.025796014027831,3.16727871279377,-0.767331300968459,1
10,"[10, 9, 8]","['addition', 'fraction', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'addition', 'left': {'min': 11, 'max': 60}, 'right': {'min': 11, 'max': 30}}, {'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}]","['addition', 'fraction', 'subtraction']",1,1,0,0,1,0,-0.8814115111015344,2.025796014027831,3.56036023406699,-0.534388001416365,1
11,"[11, 10, 9]","['addition', 'fraction', 'percentage']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'percentage', 'left': [10, 20, 50], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'addition', 'left': {'min': 11, 'max': 60}, 'right': {'min': 11, 'max': 30}}, {'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}]","['addition', 'fraction', 'percentage']",1,0,0,0,1,1,1.255375749459434,6.750220797459358,3.356185777675,0.0735151513962049,1
