,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21
L1,,0.14305084873313215,0.10161634328965559,0.015773201843087645,0.0034056619794065185,-0.014188253941810721,-0.004393665344808012,-0.01255111084633225,0.01884861850787525,0.01813014258083691,0.010236689277394632,0.013485824257552773,0.0027750264038882565,0.00010626460849247507,-0.0022378577513592485,-0.001770546339237771,-0.004188741625046589,-0.003561606119899276,-0.0037937241629047674,-0.00576825364347838,-0.00940219917093646
L2,0.14305084873313215,,0.21940514774933748,0.1291105950171179,0.05297607441573276,-0.019508310414823007,0.00992728425084946,0.060464980864072426,0.01359049278237547,0.013304289431802894,0.007157476403597712,0.009934343390248507,0.001879655586421395,4.4219941002948094e-05,-0.0019154350378521399,-0.0013070883271163786,-0.0032482857734413445,-0.0026316716528300772,-0.002797940440199774,-0.0042542968797929254,-0.006940506419627014
L3,0.10161634328965559,0.21940514774933748,,0.04712451224724203,0.11204623460127529,-0.06294511006748142,0.04296597213045798,0.012017261089992515,0.007940885600781879,-0.010300923481522598,-0.05816197877460813,0.012915777140916147,-0.011565943418689462,-0.01996032992353367,-0.0446965478492017,-0.04125542155572936,0.03260244434124841,0.010876600440658274,-0.0030687810524424076,-0.004721767670747185,-0.00774196197540231
L4,0.015773201843087645,0.12911059501711794,0.04712451224724203,,0.02975234382912074,0.012233940902329094,0.020244184514110284,0.05313425600039113,0.020553354102581495,0.01607489180069557,-0.017029063100140646,0.03655712217689641,-0.06778117502554518,0.0002374094525608376,-0.002691267909981198,-0.0021340538060920225,-0.005130154602703016,-0.004296500673946739,-0.004573319880618526,-0.006953592748426877,-0.011338127654016511
L5,0.0034056619794065185,0.052976074415732766,0.11204623460127529,0.029752343829120745,,-0.09657752284126828,0.05271805367895513,0.010328860778900916,-0.0027761985631620362,0.02277073957596121,-0.009060641307467282,0.052184744315205,-0.07412211132844496,-0.033951526156337286,-0.04798600835495211,0.030231079533445216,-0.0018113693578359466,-0.004787216841114678,-0.005473809327826528,-0.008322858615845108,-0.013566175307210373
L6,-0.014188253941810721,-0.019508310414823007,-0.06294511006748142,0.012233940902329096,-0.09657752284126828,,-0.0975103126919248,0.07478547590979215,-0.0007277094911622433,0.007257305433510539,0.01201798861898995,0.008921572566510019,-0.035057973499069084,0.04169326429560542,-0.015860383224614975,0.0641753290598463,-0.03717857393983771,-0.0682512049189005,-0.007282427956733788,-0.011563913043497145,0.03304235967715218
L7,-0.004393665344808013,0.00992728425084946,0.04296597213045799,0.020244184514110284,0.05271805367895513,-0.0975103126919248,,-0.15730130022164415,0.134323448737857,-0.0037085373697412975,-0.06248253255985924,-0.10203716359061495,0.0015991965835069645,-0.02639020686411241,-0.09390735768875864,0.005713814368986835,0.08943595764699587,0.0031066652131442004,0.05057956929686709,-0.005730879113395883,0.026369561979699977
L8,-0.01255111084633225,0.060464980864072426,0.012017261089992513,0.05313425600039113,0.010328860778900916,0.07478547590979215,-0.15730130022164415,,-0.18034895853963073,-0.02565882520222623,-0.06695175960406201,0.05562341191136289,-0.033079690449816644,-0.04782735952504006,0.060371208738096815,-0.00883427179009072,-0.04164133075126563,0.13416570104512446,-0.05561832501332966,0.07923367112249395,-0.011987605774947951
L9,0.018848618507875253,0.01359049278237547,0.007940885600781877,0.020553354102581495,-0.0027761985631620362,-0.0007277094911622431,0.134323448737857,-0.18034895853963073,,-0.22131430317737602,0.033564859918934854,-0.11450305717590248,-0.0023586306571519726,-0.07072832327218143,0.00608654553130827,-0.05248745025320053,0.021631007942146313,0.008158587733782462,0.0782197771691038,0.0010107087091948024,-0.004073644018203508
L10,0.01813014258083691,0.013304289431802894,-0.010300923481522596,0.01607489180069557,0.022770739575961214,0.007257305433510538,-0.003708537369741297,-0.025658825202226232,-0.22131430317737602,,-0.08098957466947658,0.011291932559617768,0.0027996369729951036,-0.026862416171830324,-0.05603755692440961,-0.08639684682965398,0.019261361997665725,0.11096179766064117,-0.0006339706033172743,0.10671231502176054,-0.016537355912039895
