item_i,item_j,Q3,aQ3
L12,L18,0.36075969251959256,0.3647358927283458
L16,L20,0.29397300973962176,0.297949209948375
L2,L3,0.21940514774933748,0.2233813479580907
L15,L17,0.1638799282393464,0.16785612844809963
L11,L13,0.16129710548520407,0.1652733056939573
L13,L15,0.14656067799537437,0.1505368782041276
L1,L2,0.14305084873313215,0.14702704894188537
L7,L9,0.134323448737857,0.13829964894661023
L8,L18,0.13416570104512446,0.13814190125387768
L2,L4,0.1291105950171179,0.13308679522587114
L17,L19,0.11849963289608427,0.12247583310483749
L3,L5,0.11204623460127529,0.11602243481002851
L10,L18,0.11096179766064117,0.11493799786939439
L10,L20,0.10671231502176054,0.11068851523051376
L1,L3,0.10161634328965559,0.10559254349840881
L15,L21,0.09803210375781297,0.1020083039665662
L11,L19,0.09757105422355392,0.10154725443230714
L7,L17,0.08943595764699587,0.09341215785574909
L14,L16,0.08898568013833394,0.09296188034708716
L8,L20,0.07923367112249395,0.08320987133124717
L9,L19,0.0782197771691038,0.08219597737785703
L13,L17,0.07796420245205025,0.08194040266080348
L6,L8,0.07478547590979215,0.07876167611854537
L14,L21,0.07364917371308553,0.07762537392183876
L17,L18,0.07138917813024483,0.07536537833899805
L6,L16,0.0641753290598463,0.06815152926859952
L2,L8,0.060464980864072426,0.06444118107282565
L8,L15,0.060371208738096815,0.06434740894685004
L8,L12,0.05562341191136289,0.05959961212011611
L4,L8,0.05313425600039113,0.057110456209144345
L2,L5,0.05297607441573276,0.056952274624485974
L5,L7,0.05271805367895513,0.056694253887708344
L5,L12,0.052184744315205,0.056160944523958214
L7,L19,0.05057956929686709,0.054555769505620307
L3,L4,0.04712451224724203,0.05110071245599525
L12,L14,0.043554073617293354,0.04753027382604657
L3,L7,0.04296597213045798,0.0469421723392112
L6,L14,0.04169326429560542,0.04566946450435864
L17,L21,0.036748349432423125,0.04072454964117634
L4,L12,0.03655712217689641,0.04053332238564963
L18,L19,0.036451081705826546,0.04042728191457976
L9,L11,0.033564859918934854,0.03754106012768807
L13,L21,0.033134574160964866,0.03711077436971808
L6,L21,0.03304235967715218,0.0370185598859054
L3,L17,0.03260244434124841,0.03657864455000163
L5,L16,0.030231079533445216,0.034207279742198435
L4,L5,0.02975234382912074,0.03372854403787396
L7,L21,0.026369561979699977,0.030345762188453192
L5,L10,0.02277073957596121,0.026746939784714426
L9,L17,0.021631007942146313,0.02560720815089953
L4,L9,0.020553354102581495,0.02452955431133471
L4,L7,0.020244184514110284,0.0242203847228635
